metric,label,value,scraped_at,source_url
dcr_generated,DCR Certificates Generated,5697431,2026-07-28T01:15:34,https://solardcrportal.nise.res.in/Summary/index
solar_cell_manufacturers,Solar Cell Manufacturer,21,2026-07-28T01:15:34,https://solardcrportal.nise.res.in/Summary/index
solar_cell_module_stock,Solar Cell & Module Stock,47685,2026-07-28T01:15:34,https://solardcrportal.nise.res.in/Summary/index
solar_module_manufacturers,Solar Module Manufacturer,125,2026-07-28T01:15:34,https://solardcrportal.nise.res.in/Summary/index
