year,month,month_name,agency_id,company_name,metric,value_mw,scraped_at
2022,11,Nov,9d98d3e6-0379-4589-ba0e-d704fdcdb57f,Jupiter International Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,12,Dec,9d98d3e6-0379-4589-ba0e-d704fdcdb57f,Jupiter International Limited,cell_sold_mw,10.0,2026-05-16T00:32:03
2022,1,Jan,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,2,Feb,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,3,Mar,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,4,Apr,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,5,May,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,6,Jun,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,7,Jul,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,8,Aug,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,9,Sep,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,10,Oct,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.01,2026-05-16T00:32:03
2022,11,Nov,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,0.0,2026-05-16T00:32:03
2022,12,Dec,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_manufactured_mw,7.37,2026-05-16T00:32:03
2022,1,Jan,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,2,Feb,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,3,Mar,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,4,Apr,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,5,May,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,6,Jun,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,7,Jul,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,8,Aug,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,9,Sep,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,10,Oct,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,11,Nov,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2022,12,Dec,6465a0b9-60b7-4edf-97f1-3cb3840b9a73,Mundra Solar Energy Limited,cell_sold_mw,0.0,2026-05-16T00:32:03
2023,1,Jan,,All Manufacturers,cell_manufactured_mw,14.5,2026-05-16T00:32:03
2023,2,Feb,,All Manufacturers,cell_manufactured_mw,20.84,2026-05-16T00:32:03
2023,3,Mar,,All Manufacturers,cell_manufactured_mw,38.83,2026-05-16T00:32:03
2023,4,Apr,,All Manufacturers,cell_manufactured_mw,50.83,2026-05-16T00:32:03
2023,5,May,,All Manufacturers,cell_manufactured_mw,98.45,2026-05-16T00:32:03
2023,6,Jun,,All Manufacturers,cell_manufactured_mw,82.49,2026-05-16T00:32:03
2023,7,Jul,,All Manufacturers,cell_manufactured_mw,61.12,2026-05-16T00:32:03
2023,8,Aug,,All Manufacturers,cell_manufactured_mw,77.48,2026-05-16T00:32:03
2023,9,Sep,,All Manufacturers,cell_manufactured_mw,47.34,2026-05-16T00:32:03
2023,10,Oct,,All Manufacturers,cell_manufactured_mw,85.85,2026-05-16T00:32:03
2023,11,Nov,,All Manufacturers,cell_manufactured_mw,106.61,2026-05-16T00:32:03
2023,12,Dec,,All Manufacturers,cell_manufactured_mw,196.18,2026-05-16T00:32:03
2023,1,Jan,,All Manufacturers,cell_sold_mw,0.0,2026-05-16T00:32:03
2023,2,Feb,,All Manufacturers,cell_sold_mw,11.35,2026-05-16T00:32:03
2023,3,Mar,,All Manufacturers,cell_sold_mw,13.21,2026-05-16T00:32:03
2023,4,Apr,,All Manufacturers,cell_sold_mw,43.32,2026-05-16T00:32:03
2023,5,May,,All Manufacturers,cell_sold_mw,16.87,2026-05-16T00:32:03
2023,6,Jun,,All Manufacturers,cell_sold_mw,43.61,2026-05-16T00:32:03
2023,7,Jul,,All Manufacturers,cell_sold_mw,44.15,2026-05-16T00:32:03
2023,8,Aug,,All Manufacturers,cell_sold_mw,46.52,2026-05-16T00:32:03
2023,9,Sep,,All Manufacturers,cell_sold_mw,47.0,2026-05-16T00:32:03
2023,10,Oct,,All Manufacturers,cell_sold_mw,38.23,2026-05-16T00:32:03
2023,11,Nov,,All Manufacturers,cell_sold_mw,48.91,2026-05-16T00:32:03
2023,12,Dec,,All Manufacturers,cell_sold_mw,71.9,2026-05-16T00:32:03
2023,1,Jan,9d98d3e6-0379-4589-ba0e-d704fdcdb57f,Jupiter International Limited,cell_manufactured_mw,0.46,2026-05-16T00:32:03
2023,2,Feb,9d98d3e6-0379-4589-ba0e-d704fdcdb57f,Jupiter International Limited,cell_manufactured_mw,16.35,2026-05-16T00:32:03
