year,month,month_name,agency_id,company_name,metric,value_mw,scraped_at
2022,9,Sep,d9ea2e72-6278-4549-a4d0-eeb14debcb0b,Emmvee  Photovoltaic Power Limited,module_sold_mw,0.0,2026-05-16T00:32:03
2022,10,Oct,d9ea2e72-6278-4549-a4d0-eeb14debcb0b,Emmvee  Photovoltaic Power Limited,module_sold_mw,2.07,2026-05-16T00:32:03
2022,11,Nov,d9ea2e72-6278-4549-a4d0-eeb14debcb0b,Emmvee  Photovoltaic Power Limited,module_sold_mw,1.51,2026-05-16T00:32:03
2022,12,Dec,d9ea2e72-6278-4549-a4d0-eeb14debcb0b,Emmvee  Photovoltaic Power Limited,module_sold_mw,1.2,2026-05-16T00:32:03
2023,1,Jan,,All Manufacturers,module_manufactured_mw,1.76,2026-05-16T00:32:03
2023,2,Feb,,All Manufacturers,module_manufactured_mw,7.97,2026-05-16T00:32:03
2023,3,Mar,,All Manufacturers,module_manufactured_mw,6.23,2026-05-16T00:32:03
2023,4,Apr,,All Manufacturers,module_manufactured_mw,32.62,2026-05-16T00:32:03
2023,5,May,,All Manufacturers,module_manufactured_mw,19.5,2026-05-16T00:32:03
2023,6,Jun,,All Manufacturers,module_manufactured_mw,20.2,2026-05-16T00:32:03
2023,7,Jul,,All Manufacturers,module_manufactured_mw,14.07,2026-05-16T00:32:03
2023,8,Aug,,All Manufacturers,module_manufactured_mw,19.55,2026-05-16T00:32:03
2023,9,Sep,,All Manufacturers,module_manufactured_mw,16.17,2026-05-16T00:32:03
2023,10,Oct,,All Manufacturers,module_manufactured_mw,34.98,2026-05-16T00:32:03
2023,11,Nov,,All Manufacturers,module_manufactured_mw,71.34,2026-05-16T00:32:03
2023,12,Dec,,All Manufacturers,module_manufactured_mw,71.3,2026-05-16T00:32:03
2023,1,Jan,,All Manufacturers,module_sold_mw,0.25,2026-05-16T00:32:03
2023,2,Feb,,All Manufacturers,module_sold_mw,0.02,2026-05-16T00:32:03
2023,3,Mar,,All Manufacturers,module_sold_mw,13.08,2026-05-16T00:32:03
2023,4,Apr,,All Manufacturers,module_sold_mw,14.74,2026-05-16T00:32:03
2023,5,May,,All Manufacturers,module_sold_mw,11.34,2026-05-16T00:32:03
2023,6,Jun,,All Manufacturers,module_sold_mw,6.88,2026-05-16T00:32:03
2023,7,Jul,,All Manufacturers,module_sold_mw,16.34,2026-05-16T00:32:03
2023,8,Aug,,All Manufacturers,module_sold_mw,19.33,2026-05-16T00:32:03
2023,9,Sep,,All Manufacturers,module_sold_mw,16.66,2026-05-16T00:32:03
2023,10,Oct,,All Manufacturers,module_sold_mw,7.9,2026-05-16T00:32:03
2023,11,Nov,,All Manufacturers,module_sold_mw,15.28,2026-05-16T00:32:03
2023,12,Dec,,All Manufacturers,module_sold_mw,23.92,2026-05-16T00:32:03
2023,1,Jan,4c494d96-d12f-4bd8-b9fd-6006841083a4,Waaree Energies Limited,module_manufactured_mw,0.03,2026-05-16T00:32:03
2023,2,Feb,4c494d96-d12f-4bd8-b9fd-6006841083a4,Waaree Energies Limited,module_manufactured_mw,7.88,2026-05-16T00:32:03
2023,3,Mar,4c494d96-d12f-4bd8-b9fd-6006841083a4,Waaree Energies Limited,module_manufactured_mw,5.66,2026-05-16T00:32:03
2023,4,Apr,4c494d96-d12f-4bd8-b9fd-6006841083a4,Waaree Energies Limited,module_manufactured_mw,19.47,2026-05-16T00:32:03
