calendar_year,month,month_number,maker,registrations,annual_maker_total,source,source_url,scraped_at
2026,2026-01,1,AJANTA KRUSHI YANTRA,13,73,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AJAX ENGINEERING LTD,470,2290,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,3,12,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,3,32,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AJAY MOTORS PRIVATE LIMITED,20,78,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AKAL AGRO INDUSTRY,1,8,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AKASH TRAILOR,1,7,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AKG INTERNATIONAL,166,800,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AKSHAY INDUSTRIES,16,48,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,1,1,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,"AL-KHADEER ENGINEERING WORKS, KURNOOL AP117791028",5,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALBEDO VISION PVT LTD,2,10,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALIED E MOBILITY PVT LTD,34,138,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALL TERRAIN CRANE,122,448,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALLFINE INDUSTRIES PVT LTD,195,1088,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALTIER ELECTRIC VEHICLES PVT LTD,164,1042,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALTIUS TECHNOLOGIES,1,1,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ALVI AUTO,10,47,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMAN AUTOMOBILES,29,149,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMAN ELECTRIC VEHICLES,78,412,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMAN ENTERPRISES BHPATNA,21,73,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMAR ENGG. WORKS,1,11,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMAR ENGINEERING WORKS,1,3,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMARJEET HARVESTER INDUSTRY,4,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMBICA WELDING WORKS,1,1,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMBIKA ENTERPRISES,29,109,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMBIKA INDUSTRIES,122,614,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMIR KHAN SAIFI STEEL WORKS,8,22,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMMANN INDIA PVT LTD,19,102,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMPERE VEHICLES PRIVATE LIMITED,1,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMRIT AGRO INDUSTRIES,1,1,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,1,21,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANGAD AGRO INDUSTRIES,5,6,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANIL INDUSTRIES,6,15,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANJ TECH,14,63,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANJALI AUTO COMPONENTS,1,4,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANJALI TRADERS,62,220,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANJNEY EARTHMOVERS AND ENGINEERING,2,7,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANNAPURNA TRAILER IMPLEMENTS AP312671033,4,32,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANTARK ENERGY,1,5,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ANVITA AUTO TECH WORKS PVT LTD,2,3,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AOMBRAY ELECTRIC VEHICLE PVT LTD,3,3,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,APM AUTO SALES,132,715,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,APOLLO CARMIX EQUIPMENTS PVT LTD,6,37,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,APSARA ENTERPRISE,661,2236,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARCHIT ENTERPRISES,101,513,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARJUN AGRO INDUSTRIES,6,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARJUN INDUSTRIES,2,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARNA ELECTRIC AUTO PVT LTD,5,6,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARPITA E VEHICLES,45,138,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARROW AUTOMOTIVE,519,1950,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ARYAN INDUSTRIES,13,98,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ASHA IMPEX,14,67,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ASHMA-MOTORS PVT LTD,94,448,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ASHOK LEYLAND LTD,19946,91848,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ASTON MARTIN LAGONDA LTD,1,5,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ATHER ENERGY LTD,23083,133963,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ATTOLENT AUTO GROUP PVT LTD,18,152,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ATUL AUTO LTD,3294,14481,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ATUL GREENTECH PRIVATE LIMITED,147,395,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,ATUT SANGAM,143,542,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AUDI AG,50,113,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AUTO SUPREME INDUSTRIES,2,14,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AUTOECO GREEN ENERGY PVT LTD,53,282,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AUTOHAUS PRIVATE LIMITED,2,3,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AUTOMOBILI LAMBORGHINI S.P.A,10,27,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AVL ELECTRIC VEHICLES PVT LTD,227,992,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AVON CYCLES LTD,16,79,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AVTAR ENGINEERING WORKS,5,11,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AWACHAT INDUSTRIES LTD,291,843,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,AZZURRO MOBILITY LLP,4,5,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,B24 ROKET EV,61,321,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BABA E-VEHICLES,14,55,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BABA PRODUCT,15,129,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BABAJI ENGINEERING TRAILOR WORKS,4,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BABAR AGRO INDUSTRIES AP1510243976,2,8,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BADSHAH ENTERPRISES,61,272,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BAJAJ AUTO LTD,252305,1223706,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BAJAJ IMPLEMENTS PVT. LTD,33,130,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BAJRANG MECHANICAL WORKS,5,22,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BAL GOPAL WHEELS PVT LTD,3,15,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALAJI AGRO INDUSTRIES,28,59,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALAJI ENGG WORKS,4,25,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALAJI FARM & STEEL WORKS,2,5,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALAJI INDUSTRIES,4,28,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALAJI TRADING COMPANY,2,16,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALAN ENGINEERING PVT LTD,3,13,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALI AUTO INDUSTRIES,11,36,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BALURGHAT AUTOMOBILES AND ENGINEERING,3,10,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BAMUR INDUSTRIES & ENGINEERING PVT LTD,1,20,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BANSAL AGRICULTURE IMPLEMENTS,2,6,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,2,10,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BATTRE ELECTRIC MOBLITY PVT LTD,50,293,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BAXY LTD,449,1913,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BEAUTY ENGINEERING WORKS,6,7,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,6,53,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BENTINCK INDUSTRIES PVT. LTD.,87,247,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BENTLEY MOTORS LTD (SAVWIPL),7,20,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BEST WAY AGENCIES PVT LTD,266,1237,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BGAUSS AUTO PRIVATE LIMITED,2539,15140,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHADAURIA ENTERPRISES,1,3,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHAGWAN AGRO INDUSTRIES,6,43,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
2026,2026-01,1,BHARAT AGRO ENGG WORKS,6,36,all_state_maker_month,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml,2026-05-30T01:11:27
